num_samples,var_estimate,error,scaled_error,inv_error_sq,theoretical_var,confidence_level,mu,sigma,T,dist,df,skew_alpha,rho
15160,1.3043482093572623,0.002867862405889543,0.3531082882790727,121585.94598502736,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
16025,1.3030800264575053,0.0015996795061326008,0.2025032511356516,390781.5381785515,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
16940,1.2999550836991918,0.0015252632521809417,0.1985187399829137,429843.5218984437,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
17906,1.300704925014498,0.0007754219368747428,0.10376177041868966,1663120.9477263105,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
18928,1.2967570006320153,0.0047233463193574465,0.6498335852867078,44822.948440775086,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
20008,1.3085811914326013,0.0071008444812286076,1.004411879096752,19832.61575873716,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
21149,1.303946997900435,0.002466650949062288,0.3587175430104856,164355.63727407283,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
22356,1.3012159342966245,0.00026441265474819176,0.03953477641659926,14303276.258811653,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
23631,1.3020358602322115,0.0005555132808388041,0.08539560039957873,3240493.14858431,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
24979,1.2917024404323363,0.009777906519036428,1.5453733014393582,10459.435309083876,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
26405,1.2993815662422183,0.0020987807091543687,0.3410437929085565,227020.91644003207,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
27911,1.307470402420802,0.005990055469429212,1.000733740166983,27870.08619205981,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
29503,1.3055230311427584,0.004042684191385648,0.6943891173464322,61187.17010026101,1.3014803469513727,0.95,0.15,0.2,5,skewnorm,3,7.0,0.6
